,question,counts
3694,how long is an interview,10
3695,how to calculate social distancing,10
3696,what is lllt,10
3697,what is the purpose of the coronavirus pandemic,10
3698,what is the primary outcome of the covid study,10
3699,what is the most common mutation in sars,10
3700,what is the course of covid,10
3701,what is lung ultrasound used for,10
3702,how is covid19 transmitted,10
3703,what is the difference between a lockdown and a lockdown,10
3704,when is the next covid outbreak,10
3705,what is the rna of sars-cov-2,10
3706,when was sars-cov discovered,10
3707,what is viability,10
3708,what is the primary outcome of remdesivir,10
3709,what is n95 respirator,10
3710,how to prevent covid 19,10
3711,what is the definition of lockdown,10
3712,what is the impact of the pandemic on children,10
3713,what is the purpose of in situ simulation,10
3714,what is the rna polymerase,10
3715,what is the effect of sars-cov,10
3716,what is the morphology of coronavirus,10
3717,what is the purpose of cross validation,10
3718,what is the outcome of the covid pandemic,10
3719,what is pmct,10
3720,what is the phylogenetic tree used for,10
3721,what is the purpose of telerehabilitation,10
3722,what is the purpose of a dl model,10
3723,what is the neurologic manifestation of covid,10
3724,what is the perinatal period,10
3725,what is the effect of hcq,10
3726,what is artesunate used for,10
3727,what is the purpose of ct imaging,10
3728,what is chatbot,10
3729,what is the sensitivity of a chest xray,10
3730,what is the function of orf1a,10
3731,what is artemisinin used for,10
3732,what is the specificity of elisa,10
3733,how many articles are included in a systematic review,10
3734,why is volunteering important,10
3735,what is nitazoxanide used for,10
3736,what is the normal vitamin d level,10
3737,what is the scale for anxiety and depression,10
3738,what is the goal of social distancing,10
3739,what is the function of nsp3,10
3740,what is the spread of sars cov-2,10
3741,who funded the study,10
3742,what is the definition of fake news,10
3743,what is the forecast for covid,10
3744,what is the rna,10
3745,what is the preoperative screening for covid,10
3746,what is the difference between mers-cov and sars-cov,10
3747,what is capsnet,10
3748,who wrote the paper,10
3749,what is the immune response to sars-cov-2,10
3750,what is mimansa,10
3751,what is the sensitivity index,10
3752,what is sirna,10
3753,what is hyponatremia,10
3754,what is the primary source of covid,10
3755,what is aptamer used for,10
3756,what is the treatment for pneumonia,10
3757,what is cpz,10
3758,what was the impact of the covid-19 crisis,10
3759,what is the risk of death in hospital,10
3760,what is cpz used for,10
3761,what is the most common symptom of coronavirus,10
3762,what is the gold standard for covid 19,10
3763,what is the role of acei in hypertension,10
3764,what is the sars cov2 antibody,10
3765,what is telepsychology,10
3766,what is the diagnosis of sars cov-2,10
3767,what is nursing leadership,10
3768,what is perceived usefulness,10
3769,what is the risk of death from sars,10
3770,cost of nitazoxanide,10
3771,what is the role of the immune system in sars-cov-2,10
3772,what is the effect of air pollution on the respiratory system,10
3773,what is percutaneous tracheostomy,10
3774,what is the rna for sars,10
3775,what is cas12a,10
3776,what is performance intelligence,10
3777,what is sustainable supply chain,10
3778,what is the effect of air pollution on the environment,10
3779,what is the pcr used for,10
3780,what is the difference between moderate and severe covid,10
3781,what is the purpose of a mvm,10
3782,what is the purpose of coding,10
3783,what is teletherapy,10
3784,what is the role of autophagy in viral replication,10
3785,what is the severity score for covid,10
3786,where is furin cleavage site,10
3787,what is cpas,10
3788,what is rhace2,10
3789,what is the difference between kd and misc,10
3790,what is tsr,10
3791,what is the vulnerability index,10
3792,what is self management,10
3793,what is the shortest path algorithm,10
3794,what is the clinical frailty score,10
3795,what is the underlying mechanism of covid,10
3796,what is the effect of lockdown policy,10
3797,what is the population of saudi arabia,10
3798,what is the normal range for tocilizumab,10
3799,what is the effect of covid lockdown,10
3800,what is risiko,10
3801,when did covid-19 spread,10
3802,what is the limitations of the present study,10
3803,what is the population of lombardy italy,10
3804,what is digital health,10
3805,when does covid 19 reopen,10
3806,how long does it take for chloroquine to work,10
3807,what is the orval model,10
3808,what is the cause of the covid pandemic,10
3809,when is the sars vaccine available,10
3810,what is the hypercoagulable state of covid,10
3811,what is the purpose of scopus,10
3812,what is the knowledge of covid,10
3813,what is the most common presenting symptoms of covid,10
3814,what is the treatment for ovarian cancer,10
3815,where is coronavirus spread,10
3816,what is the treatment for asthma,10
3817,how many people have died from coronavirus,10
3818,what is qsar,10
3819,unrealistic optimism definition,10
3820,what is vitamin c deficiency,10
3821,what is the asv,10
3822,why is gender equality important,10
3823,what is the purpose of a questionnaire,10
3824,what is the ethnicity of sars,10
3825,what is deepemhancer,10
3826,what is the spa scale,10
3827,what is the f1 score,10
3828,when did covid-19 pandemic occur,10
3829,what is the purpose of the covid guidelines,10
3830,what is the clinical features of coronavirus,10
3831,what is lpvr used for,10
3832,what is the raman spectrum,10
3833,what is the risk of bias in a meta-analysis,10
3834,what is neopterin,10
3835,what is the role of 3cl pro,10
3836,what is the ct score for lung,10
3837,what is the rdrp/hel assay,10
3838,how does the seir model work,10
3839,what is dhodh inhibitor,10
3840,how long does it take for covid to develop,10
3841,where does coronavirus originate,10
3842,what is the eefa framework,10
3843,what is the population of nyc,10
3844,what is the impact of the pandemic on women,10
3845,why are face masks used,10
3846,what is the half life of tocilizumab,10
3847,what is multisystem inflammatory syndrome,10
3848,what is the difference between asymptomatic and presymptomatic,10
3849,how to classify tweets,10
3850,what is the importance of telemedicine,10
3851,why is covid-19 crisis important,10
3852,what is the purpose of the research,10
3853,what is the purpose of cov,10
3854,what is the limit of detection for sars cov-2,10
3855,what is the data source for covid,10
3856,what is the halo sign,10
3857,what is px uv,10
3858,what is medsnap,10
3859,duration of viral detection,10
3860,what is the detection rate for sars cov-2,10
3861,what is diffuse alveolar damage,10
3862,what is sars cov 2,10
3863,what is the incidence of covid in colorado,10
3864,what is the euclidean distance,10
3865,what vitamin is good for pneumonia,10
3866,what is the size of an aerosol,10
3867,what is the normal dose of clozapine,10
3868,what is the pathology of sars cov,10
3869,what drugs are antiviral,10
3870,what is the difference between a survivor and a non survivor,10
3871,what is fastgat,10
3872,what is the pulmonary parenchyma,10
3873,what is the rna template,10
3874,what is the rna test for covid,10
3875,what is the half life of covid,10
3876,what is npis,10
3877,why did semmelweis's views not gain acceptance among many members of the medical community in his time?,10
3878,what is the halo sign of covid,10
3879,what is the sensitivity of a sars cov-2 test,10
3880,what is pleural effusion,10
3881,what is the rna structure,10
3882,what is the sars-cov2 protein,10
3883,how long does it take for a virus to shed,10
3884,what is novaferon,10
3885,what is crrt used for,10
3886,what is the diagnostic method for covid,10
3887,what is tampoco,10
3888,what is opensafely,10
3889,what is the function of ace2 in lung cells,10
3890,what is cryoem,10
3891,what is saliva used for,10
3892,what is the ethical approval of a study,10
3893,what is the most common neurological manifestation of covid,10
3894,when is the outbreak of covid,10
3895,what is the limitations of covid,10
3896,what is the receptor of sars-cov,10
3897,what is the impact of pandemia,10
3898,what is the dmem used for,10
3899,why is covid 19 controversial,10
3900,where is covid in italy,10
3901,what is cell based meat,10
3902,what is sarilumab used for,10
3903,what is the pathway of covid,10
3904,why is metadata important,10
3905,what is purposive sampling,10
3906,what is the role of obesity in covid,10
3907,what is the cleavage site of ace2,10
3908,how many people have been diagnosed with covid,10
3909,how long does it take to get a ct scan,10
3910,what is the code for covid,10
3911,incubation period for ncov,10
3912,what is the long term effect of the covid pandemic,10
3913,when was covid 19 confirmed,10
3914,how many cases of covid per day,10
3915,what vitamin is good for sars,10
3916,how many cases of covid-19 are there,10
3917,why is covid 19 tested,10
3918,what is primary care,10
3919,what is the pathophysiology of coronavirus,10
3920,where is covid 19 transmitted,10
3921,what organs are affected by sars cov-2,10
3922,what is raas inhibitors,10
3923,what is the sars-cov2 disease,10
3924,how many cases of covid in germany,10
3925,how long does it take for dexamethasone to work,10
3926,when is the peak of the coronavirus,10
3927,what is the purpose of a recurrent neural network,10
3928,what is the side effect of covid,10
3929,what is the purpose of covid-19 testing,10
3930,what is the impact of travel restrictions,10
3931,what is the fractional order model,10
3932,what is adiponectin,10
3933,what is the side effect of hcq,10
3934,what is the prophylactic dose of heparin for covid,10
3935,what is the name of the command that declares none declared?,10
3936,what is situated learning,10
